"patch","betweenness","closeness","degree","area_m2","betweenness_rank","closeness_rank","degree_rank","area_rank"
"1",0,0.00769230769230769,2,74,NA,192,910,285.5
"2",101.5,0.00970873786407767,5,878,165,164,589,22
"5",239685.850571162,0.000894454382826476,523,2281447,1,334,1,1
"6",0,1,1,29,NA,NA,985,868.5
"7",3.5,0.00719424460431655,7,43,381,198,345,518.5
"11",0,1,1,85,NA,NA,985,234
"12",98,0.0099009900990099,5,36,167,162,589,627.5
"13",61.3333333333333,0.00961538461538462,4,85,185,168,712,234
"14",98,0.0099009900990099,5,29,167,162,589,868.5
"15",3.5,0.00719424460431655,7,29,381,198,345,868.5
"16",3.5,0.00719424460431655,7,29,381,198,345,868.5
"17",101.5,0.00970873786407767,5,36,165,164,589,627.5
"19",180,0.00833333333333333,7,29,139,179,345,868.5
"21",3.5,0.00719424460431655,7,29,381,198,345,868.5
"22",122.166666666667,0.0091743119266055,6,1762,157,173,471,13
"24",190,0.00909090909090909,3,43,135,174,798,518.5
"25",131.166666666667,0.00970873786407767,5,36,155,164,589,627.5
"26",28.1666666666667,0.0072992700729927,9,254,217,196,178,73
"29",1.33333333333333,0.00628930817610063,7,29,512,211,345,868.5
"32",28.1666666666667,0.0072992700729927,9,65,217,196,178,333
"34",58.3333333333333,0.00909090909090909,5,36,186,174,589,627.5
"35",46.6666666666667,0.00833333333333333,5,86,197,179,589,229
"36",46.6666666666667,0.00833333333333333,5,29,197,179,589,868.5
"39",0.333333333333333,0.00617283950617284,4,29,643,214,712,868.5
"40",0,0.00613496932515337,3,29,NA,215,798,868.5
"42",46.6666666666667,0.00833333333333333,5,29,197,179,589,868.5
"51",138,0.00746268656716418,6,29,153,195,471,868.5
"53",37.5,0.00649350649350649,6,397,204,206,471,48
"54",0,0.00636942675159236,3,29,NA,209,798,868.5
"60",0,0.032258064516129,1,29,NA,142,985,868.5
"61",37.5,0.00649350649350649,6,80,204,206,471,253
"69",0,0,0,50,NA,NA,NA,449.5
"71",0,0.00558659217877095,4,29,NA,228,712,868.5
"72",0,0.00558659217877095,4,29,NA,228,712,868.5
"75",0,0.0344827586206897,5,54,NA,138,589,416
"76",0,1,1,182,NA,NA,985,114
"77",0,0.00558659217877095,4,29,NA,228,712,868.5
"78",17.9323308270677,0.0555555555555556,10,29,236,105,138,868.5
"79",1.27368421052632,0.0454545454545455,8,123,523,125,249,166.5
"80",1.82443609022556,0.0476190476190476,9,50,468,120,178,449.5
"81",0,0.0285714285714286,2,96,NA,146,910,209.5
"84",24,0.0434782608695652,6,29,227,127,471,868.5
"86",3.9077694235589,0.05,10,90,367,118,138,220.5
"88",1.82443609022556,0.0476190476190476,9,110,468,120,178,181
"90",4.93233082706767,0.0526315789473684,9,29,332,109,178,868.5
"96",0,0.0285714285714286,2,180,NA,146,910,116
"99",0,1,1,58,NA,NA,985,379.5
"100",0,1,1,72,NA,NA,985,294.5
"101",8.015664160401,0.0555555555555556,10,70,279,105,138,303
"103",0,1,1,29,NA,NA,985,868.5
"104",3.9077694235589,0.05,10,225,367,118,138,83.5
"112",6.38157894736842,0.0526315789473684,9,53,297,109,178,423
"122",0,0,0,64,NA,NA,NA,345
"127",0,0.037037037037037,4,49,NA,134,712,460.5
"129",0,1,1,29,NA,NA,985,868.5
"130",0,1,1,29,NA,NA,985,868.5
"165",0,0,0,81,NA,NA,NA,248.5
"169",0,0,0,97,NA,NA,NA,205.5
"179",0,0.5,2,41,NA,25,910,546
"180",198,0.0103092783505155,3,49,130,161,798,460.5
"181",168,0.00892857142857143,3,38,143,176,798,571.5
"183",0,0.5,2,221,NA,25,910,90
"188",150,0.00769230769230769,4,29,147,192,712,868.5
"189",0,0.5,2,128,NA,25,910,158.5
"192",0,0.00840336134453781,2,38,NA,178,910,571.5
"195",0,0.00884955752212389,3,65,NA,177,798,333
"196",0,0.00763358778625954,3,29,NA,194,798,868.5
"197",13.1333333333333,0.010752688172043,6,36,247,160,471,627.5
"198",49.7,0.00970873786407767,8,839,192,164,249,25
"200",210,0.0117647058823529,5,38,126,156,589,571.5
"202",1.73333333333333,0.00952380952380952,4,29,479,172,712,868.5
"207",197.133333333333,0.0117647058823529,9,576,131,156,178,33
"209",26,0.00657894736842105,6,38,222,203,471,571.5
"210",0,0,0,29,NA,NA,NA,868.5
"212",26,0.00657894736842105,6,56,222,203,471,400
"213",76.3,0.0113636363636364,5,159,178,159,589,128
