"patch","betweenness","closeness","degree","area_m2","betweenness_rank","closeness_rank","degree_rank","area_rank"
"1",279543.267886485,0.000666666666666667,634,3087555,1,334,1,1
"6",0.125,0.0666666666666667,9,46,795,118,292,579.5
"7",1.0452380952381,0.0769230769230769,11,36,616,99,168,722
"8",1.25,0.0666666666666667,9,70,600,118,292,396.5
"9",2.30952380952381,0.0769230769230769,11,29,507,99,168,945
"10",1.0452380952381,0.0769230769230769,11,36,616,99,168,722
"11",1.0452380952381,0.0769230769230769,11,72,616,99,168,385.5
"13",2.30952380952381,0.0769230769230769,11,29,507,99,168,945
"14",0.577380952380952,0.0714285714285714,10,29,693,111,219,945
"15",3.96190476190476,0.0833333333333333,12,770,410,97,122,34
"16",1.0452380952381,0.0769230769230769,11,41,616,99,168,639.5
"17",0.285714285714286,0.0666666666666667,9,36,753,118,292,722
"18",0,0.0588235294117647,7,36,NA,132,454,722
"24",0,0.0158730158730159,2,29,NA,227,971,945
"25",0,0.05,4,29,NA,140,750,945
"33",6,0.0196078431372549,3,344,337,208,865,83
"42",6,0.0196078431372549,3,29,337,208,865,945
"43",0,0,0,101,NA,NA,NA,276.5
"47",0,0.0227272727272727,3,29,NA,201,865,945
"48",33,0.024390243902439,5,29,186,188,655,945
"49",0,0.0227272727272727,3,29,NA,201,865,945
"56",48,0.0277777777777778,4,29,174,183,750,945
"57",0,1,1,36,NA,NA,1054,722
"58",0,1,1,29,NA,NA,1054,945
"65",49,0.0285714285714286,3,160,172,180,865,169
"66",0,0.0238095238095238,2,69,NA,197,971,401.5
"67",45,0.027027027027027,3,110,178,185,865,256.5
"73",0,0.0714285714285714,1,29,NA,111,1054,945
"81",0,0.0144927536231884,2,38,NA,234,971,661.5
"87",5,0.111111111111111,3,124,377,75,865,224
"89",40,0.0238095238095238,3,51,179,197,865,525.5
"90",0,0.0185185185185185,6,61,NA,220,569,441
"94",4.66071428571429,0.0238095238095238,9,29,388,197,292,945
"97",45.5,0.024390243902439,7,36,176,188,454,722
"98",5.5,0.0196078431372549,3,36,361,208,865,722
"101",0,0.0144927536231884,2,29,NA,234,971,945
"104",6.21428571428571,0.024390243902439,10,29,322,188,219,945
"106",6.21428571428571,0.024390243902439,10,143,322,188,219,193.5
"108",38.125,0.02,10,29,182,206,219,945
"109",108,0.0277777777777778,10,64,143,183,219,423.5
"111",5.66666666666667,0.0188679245283019,7,29,353,216,454,945
"112",45.5,0.024390243902439,7,36,176,188,454,722
"115",17,0.02,4,36,212,206,750,722
"116",0,0.0185185185185185,6,29,NA,220,569,945
"117",3,0.142857142857143,5,61,458,64,655,441
"120",6.21428571428571,0.024390243902439,10,61,322,188,219,441
"121",23.6666666666667,0.0192307692307692,8,372,199,212,367,73
"122",1,0.0144927536231884,4,53,632,234,750,506
"123",5.66666666666667,0.0188679245283019,7,29,353,216,454,945
"124",3,0.142857142857143,5,72,458,64,655,385.5
