"patch","area_m2","longitude","latitude"
1,74,658638.993243243,5213168.39864865
2,878,658669.385535307,5213148.68621868
5,2281447,659357.088853587,5211672.46001343
6,29,658484.25,5213141.75
7,43,658549.25,5213141.75
11,85,658481.344117647,5213130.70294118
12,36,658720.75,5213132.75
13,85,658749.25,5213127.75
14,29,658712.25,5213126.75
15,29,658562.25,5213124.75
16,29,658576.25,5213124.75
17,36,658670.75,5213124.75
19,29,658586.25,5213120.75
21,29,658548.25,5213115.75
22,1762,658798.992338252,5213085.56952327
24,43,658633.25,5213105.75
25,36,658749.75,5213105.75
26,254,658541.458661417,5213090.78543307
29,29,658534.25,5213096.75
32,65,658553.203846154,5213086.98076923
34,36,658797.75,5213076.75
35,86,658826.459302326,5213067.5872093
36,29,658831.25,5213058.75
39,29,658515.25,5213048.75
40,29,658522.25,5213039.75
42,29,658790.25,5213033.75
51,29,658827.25,5213011.75
53,397,658832.267632242,5212983.32934509
54,29,658864.25,5212983.75
60,29,658465.25,5212978.75
61,80,658837.15,5212968.1125
69,50,658620.75,5212958.75
71,29,658814.25,5212944.75
72,29,658801.25,5212942.75
75,54,658549.972222222,5212935.9537037
76,182,658676.914835165,5212929.79395604
77,29,658811.25,5212933.75
78,29,658489.25,5212932.75
79,123,658534.25,5212929.78252032
80,50,658513.69,5212931.01
81,96,658424.635416667,5212927.03125
84,29,658437.25,5212926.75
86,90,658519.772222222,5212918.47222222
88,110,658499.204545455,5212918.27727273
90,29,658484.25,5212918.75
96,180,658411.1,5212904.05
99,58,658890.732758621,5212909.11206897
100,72,658867.430555556,5212908.15277778
101,70,658489.735714286,5212906.95
103,29,658696.25,5212900.75
104,225,658505.512222222,5212894.38111111
112,53,658477.25,5212888.75
122,64,658257.515625,5212867.015625
127,49,658514.739795918,5212860.32142857
129,29,658616.25,5212859.75
130,29,658633.25,5212858.75
165,81,658204.953703704,5212838.19444444
169,97,658066.961340206,5212831.72938144
179,41,658805.591463415,5212803.40853659
180,49,658542.290816327,5212798.60714286
181,38,658592.75,5212799.25
183,221,658794.100678733,5212790.26131222
188,29,658648.25,5212791.75
189,128,658776.1640625,5212787.125
192,38,658571.75,5212784.25
195,65,658443.85,5212777.64230769
196,29,658367.25,5212776.75
197,36,658452.75,5212770.75
198,839,658369.93533969,5212742.81197855
200,38,658503.75,5212763.25
202,29,658445.25,5212762.75
207,576,658442.824652778,5212749.95138889
209,38,658656.75,5212753.25
210,29,658873.25,5212749.75
212,56,658669.25,5212747.25
213,159,658501.853773585,5212742.32861635
215,41,658646.591463415,5212743.40853659
218,36,658138.75,5212740.75
224,29,658629.25,5212737.75
226,65,658660.65,5212734.85769231
228,67,658391.339552239,5212734.75
230,29,658486.25,5212734.75
249,44,658376.204545455,5212725.11363636
252,161,658659.187888199,5212721.76242236
255,36,658386.75,5212719.75
270,381,658337.231627297,5212700.73950131
288,29,658370.25,5212689.75
289,29,658511.25,5212685.75
290,48,658353.729166667,5212684.75
304,69,658529.380434783,5212677.5615942
310,62,658958.733870968,5212673.63709677
311,29,658514.25,5212672.75
312,101,658740.853960396,5212669.6509901
319,36,658767.75,5212665.75
321,29,658971.25,5212664.75
322,29,658541.25,5212655.75
323,29,658691.25,5212655.75
325,29,658590.25,5212654.75
327,44,658854.75,5212648.25
336,43,658511.25,5212643.75
337,43,658524.25,5212643.75
339,63,658867.138888889,5212636.68650794
346,41,659018.908536585,5212630.40853659
349,29,658703.25,5212627.75
360,29,658358.25,5212615.75
361,29,659022.25,5212615.75
376,77,658333.418831169,5212599.63311688
