"patch","area_m2","longitude","latitude"
1,3087555,659123.85717137,5211517.25523634
6,46,658681.25,5213116.5326087
7,36,658663.75,5213103.75
8,70,658709.907142857,5213096.67857143
9,29,658692.25,5213096.75
10,36,658667.75,5213088.75
11,72,658654.041666667,5213084.33333333
13,29,658686.25,5213086.75
14,29,658643.25,5213085.75
15,770,658695.903246753,5213062.40584416
16,41,658664.591463415,5213079.09146341
17,36,658644.25,5213071.25
18,36,658633.75,5213059.75
24,29,658443.25,5213054.75
25,29,658715.25,5213047.75
33,344,658445.654069767,5213014.7122093
42,29,658443.25,5213002.75
43,101,658800.061881188,5212991.28465347
47,29,658369.25,5212976.75
48,29,658417.25,5212971.75
49,29,658368.25,5212966.75
56,29,658386.25,5212930.75
57,36,658858.25,5212930.25
58,29,658838.25,5212924.75
65,160,658364.3,5212894.25
66,69,658359.163043478,5212868.9673913
67,110,658348.477272727,5212854.31363636
73,29,658821.25,5212842.75
81,38,658031.75,5212838.25
87,124,658777.959677419,5212824.25
89,51,658313.289215686,5212810.20098039
90,61,657893.25,5212806.9795082
94,29,657968.25,5212800.75
97,36,657900.75,5212797.75
98,36,658278.25,5212796.25
101,29,658065.25,5212793.75
104,29,657964.25,5212790.75
106,143,657987.061188811,5212787.26048951
108,29,658014.25,5212788.75
109,64,657953.1875,5212786.875
111,29,657870.25,5212786.75
112,36,657901.75,5212785.75
115,36,658273.25,5212784.25
116,29,657894.25,5212783.75
117,61,658773.856557377,5212782.60245902
120,61,657972.200819672,5212778.43852459
121,372,657867.913978495,5212772.24731183
122,53,657837.25,5212776.75
123,29,657892.25,5212776.75
124,72,658799.472222222,5212770.48611111
126,148,658007.432432432,5212770.31756757
130,29,658809.25,5212771.75
132,29,657961.25,5212769.75
138,414,658011.31763285,5212752.67995169
140,29,658792.25,5212764.75
141,38,657819.75,5212761.25
142,29,657980.25,5212761.75
143,29,658777.25,5212761.75
146,36,657989.25,5212753.25
152,29,658286.25,5212749.75
154,29,658235.25,5212742.75
181,41,658946.591463415,5212675.09146341
182,69,658958.989130435,5212674.38768116
183,84,658968.154761905,5212665.03571429
185,113,658221.665929204,5212655.19247788
187,72,658125.069444444,5212653.55555556
196,36,658997.75,5212641.75
198,103,658120.589805825,5212634.99271845
206,91,659015.821428571,5212631.96978022
213,29,658159.25,5212618.75
215,52,659023.519230769,5212616.07692308
222,29,658157.25,5212607.75
225,55,657545.813636364,5212602.73181818
248,29,657566.25,5212575.75
252,29,657827.25,5212573.75
253,808,657556.938118812,5212550.85519802
