"patch","area_m2","longitude","latitude"
1,34,658642.994956104,5213155.36887283
2,36672,658382.564587101,5212769.69792815
3,84,658772.897327477,5213104.29403003
4,288,658788.852861162,5213092.69153034
5,137,658533.392038123,5213079.54780052
8,548,658806.457658266,5213069.81802351
9,21,658791.79156846,5213060.2947084
13,27,658635.086969504,5213011.76106515
15,36,658798.839703723,5212968.83580103
16,466,658778.700174312,5212943.10276907
17,562,658817.53087103,5212912.19353475
19,339,658391.007473642,5212877.48421045
20,46,658275.359334308,5212881.42168982
21,1885,658796.291329632,5212867.953301
22,27,658271.023267936,5212872.94839051
23,3723,658211.860908121,5212816.4004218
24,906,658853.334865002,5212818.6541577
25,24,658065.952692727,5212831.72680383
27,178,658703.004969298,5212827.42349939
28,201,658736.700824227,5212825.52291938
29,170,658749.608646992,5212805.32721085
30,315,658535.934733912,5212797.75907357
33,22,658131.912069138,5212797.18188189
34,186,658706.166249524,5212779.75448685
35,12,658357.474044156,5212783.22755158
36,9,658362.47441039,5212783.72754387
37,9,658569.489572468,5212781.7275747
38,561,658861.664269431,5212778.29447255
39,83,658722.585122747,5212775.13731487
40,4697,658553.610189299,5212735.50857258
41,158,658887.804025501,5212763.81645845
42,335,658714.431531501,5212762.67115209
43,1835,658169.048254489,5212731.86294841
44,34,658343.002395997,5212754.19858737
45,1412,658928.174483275,5212725.35238156
47,15,658189.061709402,5212752.32802798
51,726,658460.229503992,5212717.24096564
52,176,658807.870668193,5212726.85342074
53,367,658269.573873256,5212705.64155432
56,16,658850.010118182,5212723.22847663
59,129,658802.19653873,5212709.78294749
60,23,658495.092819198,5212709.29390886
61,12,658472.982504156,5212707.7287156
63,315,658732.907890658,5212702.3605444
64,360,658983.789360804,5212695.56223651
65,2014,658552.190390854,5212680.21275453
66,51,658964.851862684,5212690.17996655
67,18,658922.015391948,5212682.72910104
70,790,658666.029554582,5212662.49017257
71,63,658790.061283001,5212680.80849573
72,494,658170.893577124,5212669.18275119
73,38,658253.545379645,5212671.96610908
74,114,658992.336331825,5212668.60651175
75,30,658755.803218338,5212671.32927679
76,344,658776.216922768,5212662.47650631
77,30,658946.650529593,5212658.86280233
78,1178,658896.876029484,5212640.86641879
79,12,658615.992978442,5212655.72951731
80,33,658546.790940291,5212653.03258919
81,24,658553.571739957,5212652.81289561
82,2440,658818.025808393,5212590.38708211
83,233,658592.671527857,5212639.76409822
85,49,658630.085847357,5212638.60733231
86,844,658282.845355498,5212621.20990734
87,132,658557.231098882,5212636.26012051
88,48,658716.79202777,5212634.02151866
