"patch","area_m2","longitude","latitude"
1,172054,658234.143786545,5212775.40776094
4,72,658572.545351832,5213155.90236133
15,21,658507.485031169,5213129.72220942
17,41,658574.563114792,5213102.23482834
19,32,658595.991513507,5213065.72319614
23,21,658484.483346494,5213049.72344282
25,21,658798.506345974,5213025.72381284
29,67,658507.455178236,5212999.32123483
30,26,658447.980672987,5212998.72422911
37,1215,658853.986129556,5212964.35521168
38,1774146,658664.053169108,5211496.39918828
45,34,658410.742651505,5212957.72486123
47,432,658465.931061772,5212939.69967617
48,41,658869.511546493,5212946.72503082
49,61,658811.753217833,5212936.34814163
51,3335,658822.028308635,5212901.09335055
52,900,658429.065954313,5212898.76132587
57,31,658509.485177662,5212896.72580169
60,104,658862.337944166,5212882.93755274
61,21,658504.484811429,5212885.72597129
62,21,658722.500779221,5212882.72601754
64,43,658490.600073561,5212876.60983277
66,527,658764.270441904,5212870.78123016
71,21,658716.50033974,5212870.72620255
73,21,658704.499460779,5212869.72621797
74,14627,658857.751951355,5212773.87591481
75,26,658743.002280779,5212862.72632589
78,96,658891.26313961,5212844.42452472
84,21,658503.484738182,5212842.72663424
87,541,658801.733939114,5212826.89323695
97,28,658467.982137922,5212830.22682696
107,88,658015.312620142,5212811.01121413
109,2000,658707.426675172,5212777.1876447
114,40,658805.006822078,5212803.22724323
117,26,657852.937091169,5212801.72726635
123,30,658066.819422875,5212791.09409696
124,21,658077.453535065,5212790.72743595
128,40,658688.623297987,5212780.1775986
130,133,657781.943169671,5212775.29910239
135,21,657763.430535585,5212765.72782138
136,39,657805.895184216,5212765.49705571
137,21,657921.442108572,5212763.72785222
139,21,658676.49740987,5212759.72791389
141,47,657960.487521503,5212755.38755528
143,21,657741.428924156,5212750.72805265
145,129,658700.057274962,5212740.34836772
146,41,658710.49990026,5212742.72817598
149,26,657718.427239481,5212739.22822995
150,97,657742.418687369,5212738.6973103
152,78,657917.608494459,5212734.44625239
153,1685,658783.756304236,5212729.12541835
156,21,658689.498362078,5212735.72828391
157,104,657945.463098671,5212732.75717587
162,40,657877.938922337,5212723.22847662
164,21,658743.502317403,5212724.7284535
165,21,657907.441083117,5212722.72848434
167,132,658001.622223499,5212715.02405767
168,212,658805.138907224,5212711.14375729
171,200,657843.37639093,5212710.49867289
175,161,658782.480327485,5212704.53000715
178,28,658434.97972078,5212710.22867706
185,77,658830.69052137,5212704.72876185
186,36,657839.936138961,5212702.72879269
187,26,658844.009678701,5212700.72882352
188,98,658868.215533204,5212698.04519143
189,73,658050.79404824,5212686.34548363
190,21,658062.452436364,5212688.72900853
191,147,658395.891823914,5212686.36850071
192,21,657831.435516364,5212682.72910104
194,496,657632.501591328,5212673.14860358
195,75,657819.888003941,5212680.24913927
199,30,658310.103908035,5212680.36247086
200,245,657720.855988794,5212676.46797308
203,33,658014.873194018,5212676.7594961
204,48,657743.179052338,5212675.72920896
206,262,657951.799293806,5212668.53466339
208,21,657909.441229611,5212671.72927063
210,21,657903.44079013,5212669.72930146
211,21,657975.446063896,5212669.72930146
213,104,657811.501364051,5212665.84474597
214,100,658948.16730735,5212660.37944562
215,112,658040.950861559,5212659.76516937
217,21,657997.447675325,5212661.7294248
218,26,658091.954597143,5212661.7294248
220,21,658814.507517922,5212656.72950189
224,35,657764.744917566,5212653.55812222
225,28,658017.949176883,5212654.22954043
226,36,658028.838863348,5212650.86848114
228,21,657734.428411429,5212650.7295944
235,26,658772.504441558,5212646.22966377
236,1064,658059.683436565,5212630.35584836
238,90,658348.273370286,5212641.86306443
239,21,658357.474044156,5212644.7296869
240,86,658777.307118894,5212640.71812084
242,44,658809.188946565,5212642.93426004
247,21,658363.474483636,5212640.72974857
248,275,657644.039973071,5212631.07535196
249,21,658388.476314805,5212639.72976399
250,21,657746.42929039,5212637.72979482
255,60,657662.156451463,5212632.7132055
256,52,657674.924053247,5212633.72985649
257,26,658762.003672467,5212632.72987191
258,61,658785.505393766,5212632.07414431
263,45,657737.650869668,5212629.88547132
268,64,658484.983383117,5212625.22998754
269,21,658790.50576,5212626.72996442
270,50,657707.72645574,5212619.39007758
272,373,658076.381070457,5212610.89106652
273,32,658050.951594026,5212615.23014172
274,21,658686.498142338,5212613.73016484
276,79,658042.438312273,5212610.5403406
279,21,658706.499607272,5212608.73024193
281,305,657958.874358358,5212599.38940234
283,26,658011.948737403,5212606.73027276
284,21,658713.50012,5212600.73036527
285,28,657655.922661558,5212598.23040381
289,41,657915.441669091,5212592.73048861
290,159,657888.571776574,5212588.68023659
292,21,658479.48298026,5212585.73059653
306,189,659079.886743024,5212565.27059452
326,76,657747.560952222,5212539.27078652
329,150,659129.590595044,5212537.82466847
334,21,657577.416911688,5212538.73132116
339,30,658213.0968031,5212532.09809009
340,67,657700.142318178,5212529.41803191
341,122,657715.32865188,5212528.73967192
342,21,658852.510301299,5212531.73142908
344,301,657771.796596831,5212507.60223299
345,144,657724.927715584,5212508.91233645
347,423,658753.294996807,5212496.83125793
348,26,658745.502463896,5212511.23174514
354,145,657648.532465118,5212503.09049134
355,31,657662.423137662,5212506.73181451
356,379,657796.042422805,5212495.01959404
362,61,658772.340495125,5212504.4859475
365,26,658879.512278961,5212499.23193015
368,68,658779.887335233,5212491.08499693
372,75,657724.69436516,5212487.73210745
374,21,657645.421892468,5212487.73210745
375,55,657931.661038838,5212486.20485827
378,21,657733.428338182,5212482.73218453
384,674,657663.758547042,5212462.58709453
385,142,658780.026119217,5212471.71122769
388,48,657675.840787056,5212473.3989951
389,40,657923.717275208,5212472.00734989
394,33,657960.475270445,5212469.30814908
395,21,658505.484884675,5212469.73238496
399,21,658964.518504935,5212466.73243121
401,49,657982.793540811,5212462.5692301
402,78,658417.388688798,5212459.12998432
403,45,658963.874013287,5212458.5770014
404,33,658931.940361291,5212456.70228283
407,340,659338.431184936,5212444.9504141
409,67,657978.311945439,5212450.16552246
410,46,658941.51682026,5212449.40661138
412,26,657986.946906234,5212446.73273956
414,105,658962.98505929,5212441.34234648
421,92,658944.886632287,5212435.71117036
423,57,658551.365438013,5212436.34693478
425,21,658783.505247273,5212436.73289374
429,62,659318.367001936,5212431.10394827
434,60,658547.604636251,5212426.06639152
441,21,657928.442621299,5212423.73309416
446,81,658532.968379086,5212415.23939796
448,6982,658771.885089408,5212367.79826476
452,134,658932.740058035,5212410.25569002
455,30,658687.131522061,5212411.36661816
456,124,658152.571940067,5212407.29786369
457,69,658336.718900832,5212408.90723579
458,21,658429.479317922,5212409.73331001
459,33,658844.085441826,5212405.70306912
461,345,659439.822882105,5212397.49002051
463,739,658502.599693657,5212386.65518138
465,21,657743.429070649,5212401.73343335
467,129,658940.291924345,5212394.67927854
468,26,658133.457636883,5212398.23348731
469,35,658634.665774635,5212398.41919873
471,107,658838.051298376,5212390.9672442
476,255,659316.12857107,5212391.49829703
478,81,658212.463423377,5212393.57306534
480,166,658196.733355622,5212386.75776063
483,47,657725.470308516,5212390.83998428
488,90,658471.949095134,5212386.01145352
498,21,657754.429876364,5212382.73372628
504,36,659493.69615153,5212381.34485881
506,61,658504.812704297,5212376.11087757
507,245,657784.460647287,5212369.25230148
508,87,658704.844313623,5212371.56148474
512,26,659349.046668311,5212371.73389587
516,272,659361.360070162,5212363.29652596
530,21,658927.515794805,5212360.73406547
531,28,658834.008946234,5212356.23413485
533,21,657682.424602597,5212354.73415797
535,55,659370.002748618,5212353.9341703
536,138,657871.829779244,5212346.74877384
537,647,658810.610787388,5212327.04524948
545,40,659318.819454429,5212339.45939347
546,194,657700.704291943,5212332.95098866
