"patch","area_m2","longitude","latitude"
1,144.026182658563,658584.305555556,5213174.88888889
2,198.035953984334,658615.936868687,5213171.21464646
3,1295.23468419793,658661.685521236,5213145.91370656
5,45.0081679844006,658625.25,5213154.75
7,510.092673628445,658599.506862745,5213133.19705882
8,45.0082172280818,658482.25,5213147.75
9,7450.36426502033,658415.809672439,5213088.65804135
10,45.0081654957612,658632.25,5213144.75
11,103.018765356421,658534.240291262,5213141.58495146
13,3355.60491988627,658780.429433681,5213093.33181818
14,353.064103406126,658615.912889518,5213110.01912181
16,71.0128759767977,658645.714788732,5213117.03169014
17,212.038554488652,658582.066037736,5213101.63679245
18,45.0080966623209,658823.25,5213103.75
19,45.0082000018156,658527.25,5213096.75
20,66.0120369489305,658514.840909091,5213094.64393939
21,67.0121922158869,658570.25,5213089.75
22,45.0082072313526,658524.25,5213087.75
23,45.0081997961679,658535.25,5213087.75
24,52.0093946262205,658730.25,5213084.25
26,108.019627494039,658594,5213069.2962963
27,172.031519566866,658402.430232558,5213056.8255814
28,56.0102825725626,658355.75,5213060.25
29,45.0081754900166,658605.25,5213060.75
30,31907.7821071736,658659.482744029,5212927.02970033
32,45.0082311810984,658446.25,5213017.75
36,45.0081735397107,658604.25,5212989.75
37,45.0081685227342,658618.25,5212983.75
43,87.0160022035416,658314.25,5212967.75
46,65.0118548954488,658513.896153846,5212953.61153846
48,119.0217103014,658505.981092437,5212948.08613445
52,716.131695715245,658314.203910614,5212926.19972067
53,131.023922681663,658488.982824427,5212925.61259542
54,45.0082089506905,658507.25,5212928.75
55,1651.30400861157,658288.738188976,5212892.53982435
56,176.031723445078,658788.460227273,5212913.94318182
57,45.0082078365667,658512.25,5212911.75
60,79.014412920078,658504.832278481,5212904.38291139
61,45.0081186875468,658770.25,5212903.75
62,90.0164365235833,658484.75,5212901.25
63,82.014957437641,658509.25,5212883.25
64,45.0082167105866,658478.25,5212881.75
65,45.0082116258563,658500.25,5212877.75
66,45.0082767952699,658312.25,5212875.75
71,4482.82759427326,658222.964636323,5212816.77632753
72,45.0082584081974,658369.25,5212847.75
73,45.0081933474576,658550.25,5212846.75
74,45.0081984008139,658542.25,5212842.75
