"patch","area_m2","longitude","latitude"
1,152618.603044702,658556.074098014,5212849.96588243
2,32.0076659706247,658601.273150341,5213180.37767843
5,98.0235462663986,658507.127862152,5213157.25239721
6,41.0098478982691,658519.241989826,5213156.72179315
7,13470.2453307441,658416.113001463,5213086.90123153
10,85.0204201049346,658514.9561666,5213137.79267322
11,7080.68591126645,658778.672289825,5213084.79070835
16,77.0185023672238,658503.809437288,5213119.2288647
17,65.0154641362315,658809.737937822,5213108.19946433
18,805.19221455662,658698.276644763,5213064.21390264
19,41.0098567276145,658495.240231904,5213051.72341198
21,78.0187326624291,658516.754940879,5213046.22349678
23,41.0097751678841,658745.258543592,5213047.72347365
24,48.0115366232931,658495.275803615,5213036.22365095
26,41.0098847014015,658407.233786189,5213030.72373575
29,69.0166114568128,658446.335624965,5213017.72393618
36,41.0098849040223,658396.232980475,5213011.72402868
37,41.0098725945281,658450.2369358,5213001.72418286
38,80.0190034222323,658856.27307689,5212987.22440641
39,41.009745193558,658838.26535554,5212986.72441412
40,84.0199742890545,658826.65126449,5212984.39111676
41,57.0137684258225,658344.209914778,5212981.2508143
42,22600.4816437665,658207.654795021,5212821.10351111
43,113.027301131398,658335.764489516,5212969.40609706
44,178.042266051896,658865.820264903,5212903.8324337
45,120.028456793341,658902.088932507,5212895.78414954
46,48.0113904573373,658891.763176234,5212882.72601754
47,137.032495400548,658901.995677501,5212841.07702463
56,60.0144983543432,658326.588448719,5212824.56024766
57,41.0097772701993,658736.257884371,5212821.72695801
58,41.00978745264,658721.25678567,5212776.72765179
59,383.0914074225,658715.954607864,5212764.55029384
62,51.0124293799163,658060.687601222,5212763.19844862
64,41.0098039928416,658663.252537358,5212745.72812974
65,41.0097860743117,658709.255906709,5212737.72825307
73,104.025293609622,658134.678880175,5212715.57474848
74,84.0203949915012,658179.794363982,5212710.00249006
75,41.0099214360234,658273.223971125,5212709.72868476
76,48.0116661099892,658160.709632857,5212706.72873102
77,308.074593112833,658259.421408099,5212699.54053015
79,48.0116095661942,658299.261447251,5212703.22878498
80,88.0213763398351,658165.72136356,5212695.35390639
81,90.0218858511653,658133.690987307,5212690.54009172
83,41.0099789595115,658119.212691125,5212674.72922438
86,41.0097759924829,658739.258104112,5212668.72931688
87,170.04115406351,658275.815122166,5212662.5235302
88,41.0099187001179,658289.225143073,5212667.7293323
89,41.0097881986003,658704.255540475,5212662.72940939
90,177.042308831878,658667.451549599,5212657.74078573
91,4183.9971638839,658749.144136307,5212631.28284665
92,78.0186726301035,658620.736915638,5212655.20388439
93,41.0099320020236,658253.22250619,5212648.72962523
94,74.0179299282318,658248.249828206,5212639.2297717
96,179.042830209393,658633.421629242,5212637.69627579
97,90153.7420067406,658384.926327736,5212494.16713671
102,41.0099104792753,658327.227926449,5212626.72996442
104,41.0099042760557,658334.228439177,5212618.73008775
109,41.0097591544909,658797.262352423,5212606.73027277
110,41.0097741058853,658750.258909826,5212603.73031902
112,41.0098902478931,658387.232321255,5212596.73042694
115,118.028125346173,658754.274292798,5212582.78148946
116,100.024444724695,657968.405548239,5212583.6506286
117,6077.48187508323,658042.398795125,5212545.16637665
118,41.0097682868363,658768.260228268,5212574.73076613
122,72.0172846764326,658530.764513968,5212572.23080467
123,41.0100486405718,657889.195844372,5212571.73081238
133,144.034661242564,658451.078122071,5212549.71031855
138,74.0177770220034,658516.174856813,5212541.29884914
139,471.113327010476,658464.50948443,5212526.38968553
140,131.032039444661,657949.497598509,5212529.30398559
142,80.0192292868451,658493.233987403,5212530.7439443
143,41.0098761763365,658429.235397618,5212529.73145991
145,41.0100196324929,657975.202143592,5212527.73149075
149,55.0133882998489,658091.19999642,5212523.73155242
151,195.047504900605,658078.156150628,5212512.8086439
152,140.034251495847,657942.915109855,5212513.91027527
155,77.0187058239535,658160.927181258,5212510.57591109
157,41.0099764099868,658112.212178397,5212510.73175285
158,51.0122662805952,658477.718145119,5212510.26117187
159,41.0099795002607,658100.211299436,5212505.73182993
162,880.214513511368,658057.950970306,5212481.64356495
163,102.024934203189,657969.759372885,5212494.62415805
164,128.031260641408,657995.322519675,5212494.91949663
165,41.0100105554448,658017.205219956,5212495.73198411
172,41.0097821682575,658722.256858917,5212492.73203036
175,51.0121737503505,658714.735504599,5212485.2615573
177,610.145823344385,658662.479989772,5212471.95202287
178,137.032707613398,658703.922776206,5212470.85645522
179,77.0185559708916,658419.03699467,5212462.79742695
183,197.047044251463,658696.173977913,5212453.72247951
184,41.0097848875157,658714.256272943,5212457.73256997
185,41.0098380379204,658548.244113982,5212455.73260081
186,41.009781885019,658725.257078657,5212455.73260081
187,48.0115658915311,658412.728091039,5212451.73266248
188,48.0114481156052,658738.293602576,5212449.23270102
190,338.080641436536,658725.142984574,5212435.88083587
191,144.034672872222,658442.251086678,5212440.36478219
192,117.027949686628,658685.139068438,5212436.16025299
194,114.02734830766,658553.804213124,5212430.61018112
195,48.0115318431344,658509.735195974,5212431.73297083
196,41.0098792861681,658417.234518657,5212426.73304791
197,41.0098819134873,658413.23422567,5212418.73317125
198,41.0098766603041,658425.235104631,5212418.73317125
199,41.009951760032,658193.218111384,5212401.73343335
200,287.068932287046,658519.248958978,5212392.56284303
201,67.0159626740206,658770.205765737,5212394.47981384
205,41.0097705486987,658758.2594958,5212390.73360294
209,41.0097848737205,658719.256639177,5212387.7336492
210,67.0159824181173,658736.576437007,5212387.45007148
213,41.0098567581153,658494.240158657,5212379.73377254
214,41.0097997465637,658668.252903592,5212373.73386504
215,577.138646838517,658505.016912793,5212362.6092532
216,41.0099708202179,658129.213423592,5212370.73391129
219,61.0148924810928,658009.169845348,5212354.78333754
220,80.0192964349117,658385.701111545,5212352.69668939
222,78.0188301315939,658364.166842038,5212338.26005299
224,66.0159988449595,658229.722263195,5212336.97685599
225,41.0098878761055,658397.233053722,5212337.73442007
227,62.0149602837919,658376.717389049,5212332.73449715
228,95.0229401796823,658354.831745367,5212326.42933121
229,80.0193587183894,658288.719008442,5212314.7847739
230,69.0167357422179,658207.767427261,5212306.73489801
231,88.0212800696027,658309.277332344,5212306.35990379
232,48.0116154511925,658282.260202056,5212301.23498281
233,108.026096245652,658331.268421116,5212297.1331942
234,41.0099372936529,658237.221334241,5212284.7352372
235,41.0099243167206,658279.224410605,5212278.7353297
236,48.0116127091751,658291.719228182,5212277.73534512
237,55.0133496389317,658196.20768733,5212254.73569972
238,41.0099996021017,658047.207417358,5212177.73688687
239,41.0098966878722,658357.230123852,5212094.73816652
240,41.0098836144025,658404.23356645,5212087.73827444
241,111.026799756131,658357.744334222,5212073.62137497
242,486.117218307278,658390.054619703,5212062.30039503
243,117.028261132567,658341.643824899,5212068.1744735
245,344.083065607818,658355.188993074,5212050.66907852
246,54.0130438742926,658334.861276854,5212052.12771237
247,75.0180639180762,658430.719408748,5212049.21886832
248,194.046679874329,658460.244457801,5212040.23385221
249,1488.3603297215,658265.230056895,5212017.83814247
250,41.0098202505615,658606.248362293,5212042.73896823
251,41.0098243588873,658593.247410086,5212034.73909157
252,63.0151487785915,658482.721312678,5212032.21532096
253,568.137102601089,658365.5503399,5212019.8009416
254,66.015839438187,658541.245079559,5212022.02716634
260,55.0133525583369,658181.206588628,5212009.739477
261,80.0193470919621,658305.720253636,5212007.72700803
262,429.103617888468,658344.976625331,5211987.50205762
263,41.0099312081293,658262.22316541,5211979.73993953
264,41.0100019414094,658032.206318657,5211976.73998578
265,98.0236327798339,658393.874669372,5211966.19933197
266,41.0100195793784,657967.201557618,5211965.74015538
267,2489.59933981946,658439.781398295,5211935.4613936
271,69.0165893154626,658483.787643365,5211952.7403558
272,73.0175263483252,658532.158071133,5211938.35701592
273,48.0115171048965,658550.279832186,5211938.24057936
274,221.050418494939,660054.34493167,5211921.00781337
275,420.100958295079,658493.660209096,5211911.91479476
279,41.0093344531488,660114.358818397,5211914.74094167
280,18008.1037466328,660081.738634289,5211770.21817542
281,41.0092703941336,660307.372955021,5211890.74131169
283,41.0092699980305,660311.373248008,5211882.74143503
284,294.066370148415,660356.395958176,5211865.65666442
285,755.182603340538,658302.611747819,5211864.37218182
286,48.010852146399,660317.867626104,5211868.74165087
287,3459.7861680199,660164.835096598,5211833.00615096
288,82.0197002187488,658507.387463047,5211853.79066187
289,51.0122487329936,658516.721001742,5211855.2124477
290,48.0115376625326,658497.734317013,5211850.74192839
291,41.0099562682735,658182.21730567,5211847.74197464
